ppid;time;accuracy
p62;1200;3,60789943958544
p62;2000;2,61672930166354
p63;100;,108540928263218
p63;220;,705659120814725
p63;370;1,71227886484006
p63;557;2,93093322062408
p63;800;2,19000943408199
p63;1200;1,2207686692375
p63;2000;3,16796910761376
p64;100;2,49599997732172
p64;220;,474536258563254
p64;370;1,03423843158359
p64;557;1,81372142639609
p64;800;2,40690305934526
p64;1200;2,22461536067355
p64;2000;1,87587943463909
p65;100;1,16180497167318
p65;220;1,10521704949154
p65;370;2,32634787404084
p65;557;3,29376944014254
p65;800;3,00083762423692
p65;1200;3,66152561015978
p65;2000;4,05876118319002
p66;100;3,46370361268452
p66;220;,511772960301833
p66;370;1,22099244179751
p66;557;2,24363560465632
p66;800;2,67035547223787
p66;1200;3,60789943958544
p66;2000;1,95604131574068
p67;100;,602102798652845
p67;220;1,41632621939519
p67;370;2,7570751733363
p67;557;2,32634787404084
p67;800;3,23480574257823
p67;1200;2,5631031310892
p67;2000;4,05876118319002
p68;100;1,16646448721632
p68;220;1,02163360336562
p68;370;1,516110983769
p68;557;1,49717942142207
p68;800;3,11540743624982
p68;1200;2,67035547223787
p68;2000;3,66152561015978
p69;100;-,510649954687985
p69;220;,178929065082513
p69;370;1,9775921785238
p69;557;1,33918516783284
p69;800;1,87587943463909
p69;1200;2,11591947979292
p69;2000;2,32634787404084
p70;100;,393057402017661
p70;220;1,01805677692219
p70;370;2,67035547223787
p70;557;2,35041569320234
p70;800;2,60363447594799
p70;1200;2,71817186321957
p70;2000;3,11540743624982
p71;100;-,394156952335312
p71;220;-,0658270754712767
p71;370;,841621233572914
p71;557;2,35041569320234
p71;800;3,70934200114148
p71;1200;4,05876118319002
p71;2000;4,05876118319002
p72;100;,159112655340757
p72;220;,213981041666459
p72;370;1,59342252134856
p72;557;3,11540743624982
p72;800;3,06759104526812
p72;1200;3,01396487469378
p72;2000;2,66454569264524
